read_count, node_count,out-of-box-start_mnodes,out-of-box-end_mnodes,out-of-box-kmer_count_time,out-of-box-total_elapsed,new-concurrent-algo-v0-start_mnodes,new-concurrent-algo-v0-end_mnodes,new-concurrent-algo-v0-kmer_count_time,new-concurrent-algo-v0-total_elapsed,new-concurrent-algo-v1-start_mnodes,new-concurrent-algo-v1-end_mnodes,new-concurrent-algo-v1-kmer_count_time,new-concurrent-algo-v1-total_elapsed,
30000000, 4,17516875, 90350, 154.458262, 248.916, 17516875, 90350, 105.919039, 193.094, 17516875, 90350, 90.781521, 178.27, 
30000000, 8,17516875, 90563, 76.623074, 129.047, 17516875, 90563, 53.269810, 98.851, 17516875, 90563, 45.670399, 91.1046, 
30000000, 16,17516875, 90467, 38.232539, 67.3172, 17516875, 90467, 27.541427, 52.3694, 17516875, 90467, 23.330782, 48.1999, 
30000000, 32,17516875, 90642, 19.480382, 36.5382, 17516875, 90642, 14.126693, 28.9436, 17516875, 90642, 12.181734, 27.8848, 
30000000, 64,17516875, 90626, 9.890214, 21.4434, 17516875, 90626, 7.844869, 17.3553, 17516875, 90626, 6.339276, 16.7651, 
30000000, 128,17516875, 90627, 4.978172, 13.6017, 17516875, 90627, 4.700682, 11.8535, 17516875, 90627, 3.313282, 11.1416, 
30000000, 224,17516875, 90536, 2.893641, 8.83986, 17516875, 90536, 2.892991, 7.71782, 17516875, 90536, 2.003139, 7.09193, 
100000000, 4,45874708, 99068, 536.243830, 845.552, 45874708, 99068, 357.804538, 649.134, 45874708, 99068, 289.960993, 585.269, 
100000000, 8,45874708, 99134, 236.419582, 414.887, 45874708, 99134, 171.289631, 331.802, 45874708, 99134, 146.294471, 306.88, 
100000000, 16,45874708, 99392, 119.280605, 221.625, 45874708, 99392, 86.563977, 178.773, 45874708, 99392, 75.007079, 167.694, 
100000000, 32,45874708, 99144, 59.925580, 125.617, 45874708, 99144, 45.284055, 104.304, 45874708, 99144, 38.597517, 97.9339, 
100000000, 64,45874708, 99351, 30.813348, 78.5953, 45874708, 99351, 24.035203, 65.8033, 45874708, 99351, 20.208693, 62.157, 
100000000, 128,45874708, 98988, 15.637521, 51.6167, 45874708, 98988, 12.819267, 45.7622, 45874708, 98988, 10.649988, 44.6574, 
100000000, 224,45874708, 99198, 9.149184, 32.8613, 45874708, 99198, 8.035484, 29.1694, 45874708, 99198, 6.432559, 28.6356, 
1000000000, 4,223513090, 99201, 6659.476038, 8726.7, 223513090, 99201, 3612.077677, 5613.9, 223513090, 99201, 3374.004030, 5387.77, 
1000000000, 8,223513090, 99897, 2820.839070, 3946.86, 223513090, 99897, 1723.198053, 2797.21, 223513090, 99897, 1511.120795, 2623.84, 
1000000000, 16,223513090, 99737, 1280.660177, 1907.53, 223513090, 99737, 837.334126, 1443.83, 223513090, 99737, 716.314826, 1340.67, 
1000000000, 32,223513090, 99020, 598.835397, 986.567, 223513090, 99020, 415.141895, 792.887, 223513090, 99020, 358.750489, 741.174, 
1000000000, 64,223513090, 99474, 290.278994, 559.054, 223513090, 99474, 215.190002, 477.935, 223513090, 99474, 184.724863, 446.597, 
1000000000, 128,223513090, 99862, 134.577285, 345.316, 223513090, 99862, 107.896743, 304.434, 223513090, 99862, 96.345221, 293.957, 
1000000000, 224,223513090, 99457, 78.762498, 228.396, 223513090, 99457, 64.981130, 206.378, 223513090, 99457, 57.519875, 199.934, 
