read_count, node_count,out-of-box-start_mnodes,out-of-box-end_mnodes,out-of-box-kmer_count_time,out-of-box-total_elapsed,new-concurrent-algo-v1-start_mnodes,new-concurrent-algo-v1-end_mnodes,new-concurrent-algo-v1-kmer_count_time,new-concurrent-algo-v1-total_elapsed,
30000000, 4,11883414, 89994, 136.918084, 204.348, 11883414, 89994, 85.605532, 147.217, 
30000000, 8,11883414, 89982, 67.222896, 105.932, 11883414, 89982, 44.247176, 76.8383, 
30000000, 16,11883414, 89965, 33.700545, 56.2639, 11883414, 89965, 22.651444, 40.4185, 
30000000, 32,11883414, 89967, 17.017539, 30.1057, 11883414, 89967, 11.559689, 23.0163, 
30000000, 64,11883414, 89966, 8.601346, 17.5984, 11883414, 89966, 5.956392, 13.8028, 
30000000, 128,11883414, 89972, 4.407374, 11.5993, 11883414, 89972, 3.127783, 8.59432, 
30000000, 224,11883414, 89966, 2.555398, 7.20133, 11883414, 89966, 1.904921, 5.68645, 
100000000, 4,33171876, 99767, 470.382266, 672.926, 33171876, 99767, 279.716095, 475.541, 
100000000, 8,33171876, 99926, 212.123667, 326.307, 33171876, 99926, 142.831257, 241.922, 
100000000, 16,33171876, 99939, 105.675207, 168.565, 33171876, 99939, 73.034426, 127.922, 
100000000, 32,33171876, 99785, 53.230188, 91.4557, 33171876, 99785, 36.988042, 70.4255, 
100000000, 64,33171876, 99977, 26.852134, 53.1567, 33171876, 99977, 19.168148, 40.6157, 
100000000, 128,33171876, 99919, 13.820956, 31.7967, 33171876, 99919, 9.984687, 25.6159, 
100000000, 224,33171876, 99820, 8.016692, 17.3231, 33171876, 99820, 6.018873, 14.2, 
1000000000, 4,198560500, 99940, 5594.895386, 7109.5, 198560500, 99940, 3274.918280, 4763.36, 
1000000000, 8,198560500, 99995, 2475.334187, 3290.75, 198560500, 99995, 1408.241271, 2200.43, 
1000000000, 16,198560500, 99889, 1132.570169, 1570.27, 198560500, 99889, 692.433693, 1128.2, 
1000000000, 32,198560500, 99975, 535.478487, 800.763, 198560500, 99975, 350.763486, 610.165, 
1000000000, 64,198560500, 99949, 266.590440, 443.712, 198560500, 99949, 178.722382, 348.133, 
1000000000, 128,198560500, 99967, 120.409932, 245.143, 198560500, 99967, 91.626755, 203.269, 
1000000000, 224,198560500, 99890, 73.233983, 152.41, 198560500, 99890, 54.347275, 128.299, 
