read_count, node_count,out-of-box-start_mnodes,out-of-box-end_mnodes,out-of-box-kmer_count_time,out-of-box-total_elapsed,new-concurrent-algo-v1-start_mnodes,new-concurrent-algo-v1-end_mnodes,new-concurrent-algo-v1-kmer_count_time,new-concurrent-algo-v1-total_elapsed,
30000000, 4,3132472, 87594, 155.275562, 188.001, 3132472, 87594, 91.249304, 108.394, 
30000000, 8,3132472, 87590, 75.673298, 96.0104, 3132472, 87590, 44.916773, 55.7119, 
30000000, 16,3132472, 87610, 37.113097, 48.9011, 3132472, 87610, 22.643493, 28.598, 
30000000, 32,3132472, 87606, 18.498985, 27.0826, 3132472, 87606, 11.427566, 15.3802, 
30000000, 64,3132472, 87619, 9.204495, 15.5092, 3132472, 87619, 5.756317, 9.1895, 
30000000, 128,3132472, 87597, 4.627483, 9.18537, 3132472, 87597, 2.983596, 5.52916, 
30000000, 224,3132472, 87602, 2.676149, 5.23678, 3132472, 87602, 1.811540, 3.71577, 
100000000, 4,7344186, 91258, 584.638100, 658.621, 7344186, 91258, 302.260141, 346.572, 
100000000, 8,7344186, 91268, 239.342819, 293.139, 7344186, 91268, 154.159624, 174.751, 
100000000, 16,7344186, 91264, 118.416297, 147.905, 7344186, 91264, 77.261610, 89.3265, 
100000000, 32,7344186, 91276, 58.846261, 78.2193, 7344186, 91276, 38.961700, 46.3529, 
100000000, 64,7344186, 91270, 29.330973, 42.7507, 7344186, 91270, 19.590746, 24.8388, 
100000000, 128,7344186, 91285, 14.805823, 24.5619, 7344186, 91285, 9.984356, 13.8505, 
100000000, 224,7344186, 91312, 8.500249, 15.3483, 7344186, 91312, 5.902891, 9.64256, 
1000000000, 8,161450170, 99818, 3020.345607, 3509.37, 161450170, 99818, 1590.383195, 2038.54, 
1000000000, 16,161450170, 99937, 1327.641920, 1569.53, 161450170, 99937, 768.733734, 1003.61, 
1000000000, 32,161450170, 99184, 619.605218, 751.043, 161450170, 99184, 388.523073, 507.72, 
1000000000, 64,161450170, 99629, 302.846200, 379.338, 161450170, 99629, 196.058213, 264.826, 
1000000000, 128,161450170, 97586, 128.988105, 194.351, 161450170, 97586, 99.738606, 142.082, 
1000000000, 224,161450170, 97427, 74.201123, 106.991, 161450170, 97427, 58.273000, 81.1651, 
